Emp ID,Last Name,First Name,Address,City,State,Zip,Telephone,Hiredate,Dept,Location,Work Phone,M/S,Budget,Grade,Salary,Health Plan,Supervisor Name,Supr Phone
10001,Sullivan,Frank,18211 E. Valley Hwy.,Kent,WA,98032,(253) 872-1000,5/28/1983,PROD,Renton,(425) 393-1000,PB-18,R-1779,20,"5,523.60",Regence BlueShield ,Wes Adams,(206) 221-1958
10025,Selby,Betty,15702 116Th Se,Renton,WA,98058,(425) 226-1002,6/21/1983,PROD,Seattle,(206) 221-1002,QR-35,R-2661,12,"4,050.64",Regence BlueShield ,Marsha Mosley,(206) 221-1975
10090,O'Brien,Ken,312 Seneca,Renton,WA,98055,(425) 227-1009,8/25/1983,MKTG,Bellevue,(425) 882-1009,RL-27,M-1211,13,"4,234.75",Kaiser Permanente ,Barry Slatta,(206) 882-2246
10269,Duff,Ray,132 East Main,Auburn,WA,98002,(253) 833-1026,2/20/1984,PROD,Seattle,(206) 221-1026,QR-07,R-2661,4,"2,577.68",Kaiser WA,Eleanor Lancaster,(206) 221-1124
10270,Silby,Judy,1402 20Th St. Nw Ste. #4,Auburn,WA,98001,(253) 833-1027,2/21/1984,MKTG,Bellevue,(425) 882-1027,RL-27,M-1211,15,"4,603.01",Kaiser WA,Barry Slatta,(206) 882-2246
10393,Harrington,Donna,1150 Raymond Ave. Sw,Renton,WA,98055,(425) 227-1039,6/23/1984,PROD,Seattle,(206) 221-1039,QR-06,R-5321,5,"2,761.79",Kaiser WA,Joe Stone,(206) 221-2252
10430,Harding,Joel,204 H St. Nw,Auburn,WA,98001,(253) 833-1043,7/30/1984,MKTG,Bellevue,(425) 882-1043,RL-27,M-1211,10,"3,682.40",Regence BlueShield ,Barry Slatta,(206) 882-2246
10474,Rathke,Nicole,61 Shattuck Ave. S.,Renton,WA,98055,(425) 227-1047,9/12/1984,PROD,Seattle,(206) 221-1047,QR-12,R-2661,4,"2,577.68",Kaiser Permanente ,Harry Hillis,(206) 221-2179
10517,Lee,Allen,22645 76Th Av S,Kent,WA,98032,(253) 872-1051,10/25/1984,SALE,Bellevue,(425) 882-1051,HG-12,S-3006,15,"4,603.01",Regence BlueShield ,Bob Stewart,(206) 882-1590
10544,Allert,Maria,865 Lind Sw,Renton,WA,98055,(425) 227-1054,11/21/1984,PROD,Seattle,(206) 221-1054,QR-27,R-2661,2,"2,209.44",Regence BlueShield ,Lynn Jarret,(206) 221-1366
10639,Samuelson,Ed,19044 108Th Ave. Se,Renton,WA,98055,(425) 227-1063,2/24/1985,PROD,Renton,(425) 393-1063,PB-14,R-1779,6,"2,945.92",Regence BlueShield ,Molly Goldberg,(206) 393-1513
10702,Graves,Bert,904 North 36Th,Renton,WA,98056,(425) 226-1070,4/28/1985,ACCT,Seattle,(206) 221-1070,BX-45,A-1834,14,"4,418.88",Kaiser WA,Val Johnson,(206) 221-1958
10853,Young,Jim,1408 15Th St. Nw,Auburn,WA,98001,(253) 833-1085,9/26/1985,PROD,Renton,(425) 393-1085,PB-14,R-1779,17,"4,971.25",Regence BlueShield ,Molly Goldberg,(206) 393-1513
10876,Wilson,Fred,955 Lind Ave Sw,Renton,WA,98055,(425) 227-1087,10/19/1985,PROD,Seattle,(206) 221-1087,QR-12,R-2661,13,"4,234.75",Regence BlueShield ,Harry Hillis,(206) 221-2179
10881,Mason,Christine,560 Naches,Renton,WA,98055,(425) 227-1088,10/24/1985,ENGR,Renton,(425) 393-1088,XJ-67,E-1089,14,"4,418.88",Regence BlueShield ,Dave Rogers,(206) 393-1973
10884,Franklin,Dorothy,Gsa Wrihs 3 73 C St. Sw,Auburn,WA,98001,(253) 833-1088,10/27/1985,PROD,Seattle,(206) 221-1088,QR-27,R-2661,18,"5,155.36",Regence BlueShield ,Lynn Jarret,(206) 221-1366
10911,McCarthy,Steven,18211 E. Valley Rd.,Kent,WA,98032,(253) 872-1091,11/23/1985,PROD,Seattle,(206) 221-1091,QR-35,R-2661,7,"3,130.03",Kaiser WA,Marsha Mosley,(206) 221-1975
11127,Whitfield,Barbara,"14900 Interurban Ave. S., #290",Tukwila,WA,98168,(206) 575-1112,6/27/1986,SALE,Bellevue,(425) 882-1112,HG-12,S-3006,3,"2,393.57",Kaiser WA,Bob Stewart,(206) 882-1590
11129,Rucker,Pamela,2715 Auburn Way North,Auburn,WA,98002,(253) 833-1112,6/29/1986,PROD,Seattle,(206) 221-1112,QR-27,R-2661,15,"4,603.01",Kaiser WA,Lynn Jarret,(206) 221-1366
11133,Rubenstein,Arthur,2200 One Union Square,Seattle,WA,98101,(206) 452-1113,7/3/1986,PROD,Renton,(425) 393-1113,PB-18,R-1779,5,"2,761.79",Kaiser WA,Frank Sullivan,(206) 393-1000
11153,Quinlan,Leslie,1531 20Th St. Nw,Auburn,WA,98001,(253) 833-1115,7/23/1986,PROD,Renton,(425) 393-1115,PB-21,R-1779,18,"5,155.36",Kaiser WA,Frank Borman,(206) 393-1265
11157,Hill,Erica,3419 C St. Ne,Auburn,WA,98002,(253) 833-1115,7/27/1986,SALE,Bellevue,(425) 882-1115,HG-12,S-3006,4,"2,577.68",Regence BlueShield ,Bob Stewart,(206) 882-1590
11181,Carson,Brian,1120 Sw 16Th,Renton,WA,98055,(425) 227-1118,8/20/1986,PROD,Seattle,(206) 221-1118,QR-31,R-5321,15,"4,603.01",Regence BlueShield ,Bob Irwin,(206) 221-1549
11222,Asher,Jane,130 Ne 3Rd,Auburn,WA,98002,(253) 833-1122,9/30/1986,ACCT,Seattle,(206) 221-1122,BX-45,A-1834,1,"2,025.33",Regence BlueShield ,Val Johnson,(206) 221-1958
11239,Lloyd,Jean,101 2Nd St. Ne,Auburn,WA,98002,(253) 833-1123,10/17/1986,PROD,Renton,(425) 393-1123,PB-18,R-1779,1,"2,025.33",Regence BlueShield ,Frank Sullivan,(206) 393-1000
11249,Lancaster,Eleanor,308 W. Main,Auburn,WA,98001,(253) 833-1124,10/27/1986,PROD,Seattle,(206) 221-1124,QR-07,R-2661,20,"5,523.60",Regence BlueShield ,Wes Adams,(206) 221-1958
11407,Simpson,Sheila,2623 West Valley Hwy.,Auburn,WA,98001,(253) 833-1140,4/3/1987,SALE,Bellevue,(425) 882-1140,HG-12,S-3006,5,"2,761.79",Kaiser Permanente ,Bob Stewart,(206) 882-1590
11463,McGuire,Ned,2807 Auburn Way North,Auburn,WA,98002,(253) 833-1146,5/29/1987,PROD,Renton,(425) 393-1146,PB-18,R-1779,11,"3,866.53",Regence BlueShield ,Frank Sullivan,(206) 393-1000
11464,Cooper,June,615 2Nd Nw,Auburn,WA,98001,(253) 833-1146,5/29/1987,PROD,Seattle,(206) 221-1146,QR-35,R-2661,15,"4,603.01",Regence BlueShield ,Marsha Mosley,(206) 221-1975
11524,Kellerman,Kurt,101 Lund Rd. Sw,Auburn,WA,98001,(253) 833-1152,7/29/1987,PROD,Seattle,(206) 221-1152,QR-19,R-5321,13,"4,234.75",Regence BlueShield ,Bill Harrison,(206) 221-2205
11582,Robertson,Georgia,17601 S.E. 272 St.,Kent,WA,98042,(253) 872-1158,9/25/1987,ACCT,Seattle,(206) 221-1158,BX-45,A-1834,3,"2,393.57",Regence BlueShield ,Val Johnson,(206) 221-1958
11583,Webster,Charles,800 Sw 16Th St.,Renton,WA,98055,(425) 227-1158,9/26/1987,ENGR,Renton,(425) 393-1158,XJ-67,E-1089,6,"2,945.92",Regence BlueShield ,Dave Morgan,(206) 393-2002
11584,Collins,Jerry,401 Rainier Ave. N.,Renton,WA,98055,(425) 227-1158,9/26/1987,PROD,Seattle,(206) 221-1158,QR-12,R-2661,11,"3,866.53",Regence BlueShield ,Harry Hillis,(206) 221-2179
11585,Bloom,Kathleen,846 Lind Sw,Renton,WA,98055,(425) 227-1158,9/26/1987,PROD,Renton,(425) 393-1158,PB-21,R-1779,4,"2,577.68",Regence BlueShield ,Frank Borman,(206) 393-1265
11616,Wyman,Jeffrey,560 Hardy Ave. Sw,Renton,WA,98055,(425) 227-1161,10/29/1987,PROD,Seattle,(206) 221-1161,QR-06,R-5321,9,"3,498.27",Regence BlueShield ,Joe Stone,(206) 221-2252
11624,Rosen,Barry,"25628 101 S.E., #A",Kent,WA,98031,(253) 872-1162,11/6/1987,PROD,Seattle,(206) 221-1162,QR-19,R-5321,4,"2,577.68",Regence BlueShield ,Bill Harrison,(206) 221-2205
11638,Palmer,Barbara,4101 Lake Washington Blvd. N.,Renton,WA,98055,(425) 227-1163,11/20/1987,PROD,Seattle,(206) 221-1163,QR-06,R-5321,3,"2,393.57",Regence BlueShield ,Joe Stone,(206) 221-2252
11715,Depner,Marilyn,1025 6Th Ave. N.,Kent,WA,98032,(253) 872-1171,2/5/1988,PROD,Seattle,(206) 221-1171,QR-07,R-2661,19,"5,339.47",Kaiser WA,Eleanor Lancaster,(206) 221-1124
11730,Brewster,Edwin,833 Houser Way N.,Renton,WA,98055,(425) 227-1173,2/20/1988,MKTG,Bellevue,(425) 882-1173,RL-27,M-1211,4,"2,577.68",Kaiser WA,Bob Shavers,(206) 882-1281
11913,Holliday,Joan,23805 104Th S.E.,Kent,WA,98031,(253) 872-1191,8/21/1988,PROD,Seattle,(206) 221-1191,QR-27,R-2661,14,"4,418.88",Regence BlueShield ,Lynn Jarret,(206) 221-1366
11972,Wentworth,Cathy,300 Airport Way,Renton,WA,98055,(425) 227-1197,10/19/1988,ACCT,Renton,(425) 393-1197,BB-27,A-1834,10,"3,682.40",Regence BlueShield ,Barbara Carrera,(206) 393-2000
12002,Smith,Steve,20717 Pacific Hwy. S.,Seattle,WA,98188,(206) 452-1200,11/18/1988,ACCT,Renton,(425) 393-1200,BB-27,A-1834,8,"3,314.16",Regence BlueShield ,Barbara Carrera,(206) 393-2000
12003,Larsen,Joanne,1402 20Th St. Nw #7,Auburn,WA,98001,(253) 833-1200,11/19/1988,PROD,Renton,(425) 393-1200,PB-18,R-1779,18,"5,155.36",Regence BlueShield ,Frank Sullivan,(206) 393-1000
12133,Madison,Don,3611 St. Ne #177,Auburn,WA,98002,(253) 833-1213,3/29/1989,PROD,Renton,(425) 393-1213,PB-21,R-1779,7,"3,130.03",Kaiser Permanente ,Frank Borman,(206) 393-1265
12147,Klein,Sheila,20202 84Th Ave. S.,Kent,WA,98032,(253) 872-1214,4/12/1989,SALE,Bellevue,(425) 882-1214,HG-12,S-3006,11,"3,866.53",Kaiser Permanente ,Bob Stewart,(206) 882-1590
12158,Jones,Bonnie,1600 Auburn Way North,Auburn,WA,98002,(253) 833-1215,4/23/1989,PROD,Seattle,(206) 221-1215,QR-19,R-5321,2,"2,209.44",Kaiser WA,Bill Harrison,(206) 221-2205
12168,Grover,Dennis,1520 Sw Grady Way,Renton,WA,98055,(425) 227-1216,5/3/1989,ENGR,Renton,(425) 393-1216,XJ-67,E-1089,8,"3,314.16",Kaiser WA,Dave Morgan,(206) 393-2002
12196,Peterson,George,3002 Lind Ave. Sw,Renton,WA,98055,(425) 227-1219,5/31/1989,PROD,Renton,(425) 393-1219,PB-21,R-1779,8,"3,314.16",Regence BlueShield ,Frank Borman,(206) 393-1265
12215,Cort,Roberta,"515 W. Harrison, #125",Kent,WA,98032,(253) 872-1221,6/19/1989,PROD,Seattle,(206) 221-1221,QR-07,R-2661,5,"2,761.79",Regence BlueShield ,Eleanor Lancaster,(206) 221-1124
12224,DeCosta,Wally,5720 South 296Th Pl.,Auburn,WA,98001,(253) 833-1222,6/28/1989,PROD,Renton,(425) 393-1222,PB-21,R-1779,5,"2,761.79",Kaiser WA,Frank Borman,(206) 393-1265
12244,Apperly,Ward,19808 W. Valley Hwy.,Kent,WA,98032,(253) 872-1224,7/18/1989,PROD,Renton,(425) 393-1224,PB-14,R-1779,8,"3,314.16",Kaiser WA,Molly Goldberg,(206) 393-1513
12255,Sievers,Harriet,1300 Bronson Way N.,Renton,WA,98055,(425) 227-1225,7/29/1989,PROD,Seattle,(206) 221-1225,QR-35,R-2661,8,"3,314.16",Regence BlueShield ,Marsha Mosley,(206) 221-1975
12257,Berry,Frank,22005 84Th Ave. S.,Kent,WA,98032,(253) 872-1225,7/31/1989,SALE,Bellevue,(425) 882-1225,HG-12,S-3006,13,"4,234.75",Regence BlueShield ,Bob Stewart,(206) 882-1590
12278,Gribben,David,"4507 Pacific Hwy. E, #A-2",Tacoma,WA,98424,(360) 575-1227,8/21/1989,ENGR,Renton,(425) 393-1227,XJ-67,E-1089,13,"4,234.75",Regence BlueShield ,Dave Morgan,(206) 393-2002
12287,Cato,Anthony,1216 N. 4Th Ave.,Kent,WA,98032,(253) 872-1228,8/30/1989,SALE,Bellevue,(425) 882-1228,HG-12,S-3006,14,"4,418.88",Kaiser Permanente ,Bob Stewart,(206) 882-1590
12370,Arthur,Diane,7710 Lake Washington Blvd. Se,Renton,WA,98056,(425) 226-1237,11/21/1989,MKTG,Bellevue,(425) 882-1237,RL-27,M-1211,20,"5,523.60",Regence BlueShield ,Wes Adams,(206) 221-1958
12375,Tracy,Jean,200 Mill Ave. S.,Renton,WA,98055,(425) 227-1237,11/26/1989,PROD,Seattle,(206) 221-1237,QR-10,R-2661,12,"4,050.64",Kaiser WA,Peggy Kramer,(206) 221-2083
